text,retweet_count,favorite_count,created_at
"It was great to connect with residents in Tagburos fishing village in Palawan, the Philippines as we work together… https://t.co/ID20RZvwwW",115,523,2022-11-22 18:30:36+00:00
The United States is proud of our historic ties with the Philippines. In my meeting with President Marcos in Manila… https://t.co/kqpTBNhGXe,731,4072,2022-11-22 00:45:50+00:00
I met with Vice President Duterte-Carpio in Manila. We discussed education policy and ways we can improve literacy… https://t.co/rouMO9qBMY,957,5552,2022-11-21 20:33:29+00:00
"To fully understand the impacts of the climate crisis, and to develop enduring solutions, we need all voices at the… https://t.co/9qkk8E2Icc",805,3978,2022-11-21 15:11:00+00:00
"Happy birthday, @POTUS. Wishing you a day full of joy and celebration. https://t.co/ZHSe8kWJtV",2706,26672,2022-11-20 22:33:01+00:00
"On this Transgender Day of Remembrance, we must honor those we’ve lost to anti-trans violence. We will continue to… https://t.co/D0dDi0qs54",1531,7478,2022-11-20 22:07:00+00:00
The epidemic of gun violence in America has struck again in Colorado Springs. Our hearts are with the families and… https://t.co/5y3YOgldzD,2110,12491,2022-11-20 21:40:00+00:00
Thank you to the people of Thailand for such a warm welcome. https://t.co/3GmfcwRZHl,1457,9675,2022-11-20 16:40:02+00:00
It was an honor to meet with the Supreme Patriarch of Thailand at Wat Ratchabophit Temple. I have deep respect for… https://t.co/3KPbC4VyHy,1203,7710,2022-11-20 15:17:02+00:00
"As I said to Prime Minister Prayut of Thailand, the United States is committed to strengthening our Alliance with T… https://t.co/uIhVn1UTz5",1290,7605,2022-11-20 00:39:01+00:00
"Through our actions, our investments, and the principles that we stand for each and every day, the Biden-Harris Adm… https://t.co/J0Q76zNqvO",715,3616,2022-11-19 16:07:15+00:00
I am pleased to announce San Francisco will host the Asia-Pacific Economic Cooperation Leaders Meeting in 2023. We… https://t.co/JTdwNSJTz5,713,3628,2022-11-19 14:41:00+00:00
"Today in Bangkok, I greeted President Xi before the APEC Leaders Retreat. I noted a key message that President Bide… https://t.co/SF8pE3qd8T",1873,10544,2022-11-19 05:28:01+00:00
As I told CEOs at the APEC CEO Summit: America is here to stay. Our economic commitment to the Indo-Pacific is endu… https://t.co/4L2ryT1MdP,728,3095,2022-11-19 02:34:02+00:00
"We strongly condemn the long-range ballistic missile launch by North Korea, and we again call for North Korea to st… https://t.co/lHWVU9rShL",864,3870,2022-11-18 18:48:12+00:00
"Today in Bangkok, I convened leaders from Japan, Republic of Korea, Australia, New Zealand, and Canada to condemn t… https://t.co/h9VqWhc6Rh",1173,5570,2022-11-18 12:00:25+00:00
"The United States has an enduring economic commitment to the Indo-Pacific, because it directly affects American pro… https://t.co/4SX7TJPWJB",542,2439,2022-11-18 07:13:15+00:00
"For 111 years, the men of Omega Psi Phi Fraternity, Inc. have dedicated themselves to scholarship service and so mu… https://t.co/SWfedHdOFp",268,1576,2022-11-17 21:33:00+00:00
"Thank you, @SpeakerPelosi.
 
Our entire nation is forever grateful for your leadership. https://t.co/a15KrDtSvE",4944,37433,2022-11-17 20:26:03+00:00
"It’s wonderful to be in Bangkok, Thailand. Over the next few days, I will meet with leaders at the Asia-Pacific Eco… https://t.co/tKcFNtwRTT",1539,8608,2022-11-17 16:43:01+00:00
"As I said with President Macron, we have unrealized opportunity in space. From using satellite technology and data… https://t.co/C42JR6jDMF",1268,7445,2022-12-01 02:04:03+00:00
"As I said with President Macron, we have unrealized opportunity in space. From using satellite technology and data… https://t.co/C42JR6jDMF",1269,7448,2022-12-01 02:04:03+00:00
The United States and France have partnered on space exploration for more than 60 years. It was my honor to welcome… https://t.co/RHPT55M9bV,1471,9592,2022-11-30 23:36:04+00:00
I am proud to join Tribal Nation leaders today at our White House Tribal Nations Summit. Tune in as I deliver remar… https://t.co/D6Au9wCtdT,524,2437,2022-11-30 20:03:43+00:00
Our Administration stands for the fundamental right to marry the person you love and live free from discrimination.,2344,17806,2022-11-30 00:50:00+00:00
The Respect for Marriage Act ultimately stands for a simple principle: all Americans are equal and their government… https://t.co/LVZyQSnbdT,1512,10591,2022-11-30 00:33:31+00:00
"RT @POTUS: Finding common ground is crucial to funding the government, COVID, and the war in Ukraine – and resolving the train strike.
 
Th…",1573,0,2022-11-29 23:31:35+00:00
Congratulations to the @USMNT on a thrilling win and advancing at the #FIFAWorldCup!,689,7033,2022-11-29 23:14:05+00:00
Protect yourself this holiday season with an updated COVID vaccine. Visit https://t.co/ddwWZdNCgg to make your appointment now.,307,1444,2022-11-29 20:44:00+00:00
Congressman Donald McEachin was a relentless advocate for his community and a dedicated colleague. I will miss his… https://t.co/Fbn7xUofMV,767,4298,2022-11-29 19:28:02+00:00
"Under our Administration, we reached record low uninsured rates—over 5 million more people are newly insured since… https://t.co/KJuxi8glo9",738,3435,2022-11-28 20:44:00+00:00
Today @POTUS signed a Presidential Memorandum which will strengthen accountability for conflict-related sexual viol… https://t.co/M5bmDn4kYh,1713,8274,2022-11-28 19:20:00+00:00
"One shot, once a year—that’s all most people will need to stay protected from COVID year-long. Make a plan to get y… https://t.co/6aeBBo9aku",610,3037,2022-11-28 18:41:00+00:00
"Today, Doug and I visited These Hands Makers Collective in Los Angeles for Small Business Saturday. This Latina-own… https://t.co/Ii2IWmiDT0",1090,6408,2022-11-27 02:07:39+00:00
"Small businesses are part of the backbone of our country—not only of our economy, but our communities. On this Smal… https://t.co/d3rSdgmi4u",1443,7916,2022-11-26 20:10:36+00:00
"On this Native American Heritage Day, we celebrate the history and contributions of Native peoples. We will continu… https://t.co/wWLS8e7Wya",2346,12153,2022-11-25 18:02:40+00:00
Doug and I were honored to speak with service members in our Armed Forces this Thanksgiving. We are grateful for yo… https://t.co/qOT5uTHBt3,1216,9137,2022-11-25 01:26:01+00:00
"We have so much to be thankful for, and giving back to our community is what it's all about. Doug and I were thrill… https://t.co/yUfaBMYigF",914,5581,2022-11-24 22:42:13+00:00
"From our family to yours, happy Thanksgiving! https://t.co/TPXmstje3M",2526,20053,2022-11-24 15:33:52+00:00
"In my meeting with President Marcos, I made clear the United States stands with the Philippines in support of inter… https://t.co/AQR7jGnHQe",722,3962,2022-11-24 03:07:00+00:00
"Our hearts go out to the families of the victims and the entire Chesapeake, Virginia community today. It is tragic… https://t.co/6acd1b27Zo",1149,7168,2022-11-23 17:04:04+00:00
