text,retweet_count,favorite_count,created_at
,,,
“Junk fees cost” Americans tens of millions of dollars a year – weighing down family budgets and making it harder f… https://t.co/f8hrrhiYG0,1565,6436,2022-11-18 23:32:25+00:00
,,,
"Millions of Americans will travel home for the holidays and will get hit with hidden “junk” fees from airlines, hot… https://t.co/e4ljSAYLbK",3052,16678,2022-11-18 22:36:15+00:00
,,,
It will take time to get inflation back to normal levels as we keep our job market strong – and we could see setbac… https://t.co/lMOEYjfZmR,2846,12394,2022-11-18 21:50:01+00:00
,,,
My Administration is building a world-class workforce that is ready to compete. https://t.co/bNrcc0g5uG,1698,6269,2022-11-18 20:51:33+00:00
,,,
"We're seeing initial signs that inflation is coming down.

This week we saw that the increase in prices businesses… https://t.co/dHY3sG00z5",3279,17853,2022-11-18 19:34:44+00:00
,,,
Tune in as I meet with business and labor leaders and deliver remarks. https://t.co/FxEzSJtvgP,805,3376,2022-11-18 18:39:41+00:00
,,,
"RT @WhiteHouse: Thanks to President Biden’s economic plan, 17 states have unemployment rates at or below 3%. https://t.co/M4v58zHIzX",3198,0,2022-11-18 17:41:42+00:00
,,,
"Unfair, hidden fees known as “junk fees” take real money out of the pockets of American families.
 
Things like ban… https://t.co/zgzsRh0DAE",8030,45635,2022-11-18 14:18:30+00:00
,,,
"My Administration locked in $800 in annual savings on health insurance for 13 million Americans, a $2,000 cap on ou… https://t.co/SHjgYPOqpi",4956,20595,2022-11-17 21:02:02+00:00
,,,
"I promised we’d crack down on wealthy billionaires, not the middle class.
 
With a 15% minimum tax on billion-dolla… https://t.co/WoxzPNVSnZ",10007,53534,2022-11-17 19:33:46+00:00
,,,
"When I think of Nancy Pelosi, I think of dignity.
 
History will note her as the most consequential Speaker of the… https://t.co/cbW9OVbe8P",22531,140954,2022-11-17 18:11:57+00:00
,,,
"In the face of global challenges, America will continue to work alongside our allies and partners to deliver real,… https://t.co/2Y0Ou8hRcp",1747,8342,2022-11-17 16:09:39+00:00
,,,
My Administration has made progress in getting folks their updated COVID vaccine before the winter. But everyone ne… https://t.co/32I55SDwjQ,1135,4955,2022-11-17 15:00:00+00:00
,,,
"I ended my international trip by sitting down with Prime Minister Sunak of the United Kingdom.
 
I reaffirmed our n… https://t.co/apeltIrrQr",2764,21692,2022-11-17 14:00:05+00:00
,,,
"The G20 is all about creating real opportunity, greater equality, and a more secure, healthy, and prosperous world.… https://t.co/LrwbqrQ4i1",1616,7963,2022-11-17 02:30:01+00:00
,,,
The American people want us to get things done for them. They want us to focus on the issues that matter to them an… https://t.co/DyeM6paukH,1406,8616,2022-11-17 01:31:41+00:00
,,,
"In this election, voters spoke clearly about their concerns: the need to lower costs, protect the right to choose,… https://t.co/gBgyw6SPBN",1374,8763,2022-11-17 01:31:41+00:00
,,,
"Last week’s elections demonstrated the strength and resilience of American democracy. There was a statement that, i… https://t.co/HzJSpzG3TL",2900,17774,2022-11-17 01:31:39+00:00
,,,
"In June, I helped launch the Partnership for Global Infrastructure and Investment.

Since then, we've started an ar… https://t.co/pMlKEqkr8L",1726,7340,2022-11-17 01:15:00+00:00
,,,
I'm convinced the nations of the G20 are going to come out of the multiple global crises we’ve been through – the p… https://t.co/ylq3IufiZz,1647,8638,2022-11-17 00:30:02+00:00
"With the CHIPS and Science Act, we’re ensuring more American-made technology, making more microchips at home, and c… https://t.co/8SHkn2JCyy",778,3368,2022-11-19 15:20:00+00:00
Tune in as I pardon the National Thanksgiving Turkey. https://t.co/ZugiKevier,119,544,2022-11-21 16:26:39+00:00
"Oregon is the latest state to pardon all prior offenses of simple marijuana possession, following my pardon of fede… https://t.co/RkZDcek9ER",729,3369,2022-11-22 18:05:00+00:00
"Friends in times of triumph and of trial, France and the United States will meet the future just as we always have:… https://t.co/xijqLmEK5W",822,5139,2022-12-02 00:45:18+00:00
"Welcome to the People's House, Mr. President. https://t.co/c67WHtYEJG",1143,9499,2022-12-02 00:00:02+00:00
"The temperature may be chilly on this bright December day, but our hearts are warm to welcome such close friends to… https://t.co/yoygBrX26x",1105,7818,2022-12-01 23:25:08+00:00
Republican officials are throwing up roadblocks in order to prevent middle-class families from getting the student… https://t.co/2GQ8JVTGZv,1521,7194,2022-12-01 22:48:00+00:00
"France was our first ally. 
The first country to fly the American flag after our Revolution.
The first to host our… https://t.co/uJGRJdni5T",1595,8946,2022-12-01 22:40:30+00:00
"Liberty, equality, fraternity.
Liberté, égalité, fraternité. https://t.co/LfTvQbCKQF",2543,16232,2022-12-01 22:09:23+00:00
Tune in as I host a joint press conference with President Emmanuel Macron of France. https://t.co/3mppuSw9Ha,740,3155,2022-12-01 18:18:13+00:00
"Today, we learned inflation moderated and incomes grew in October, following news that our economy grew at an even… https://t.co/wKgwSUZTad",2267,9246,2022-12-01 15:45:33+00:00
"Looking forward to a productive day with President Macron, Mrs. Macron, and the French delegation. https://t.co/EvMikKG9ov",1779,15770,2022-12-01 15:00:02+00:00
Tune in as the First Lady and I greet President Macron and Mrs. Macron of France for the Official Arrival Ceremony. https://t.co/BuAKjKvTHk,925,5038,2022-12-01 14:17:27+00:00
"On World AIDS Day, we raise a red ribbon to remember how far we’ve come, the work that's left, and those devastated… https://t.co/WPdf969Bu3",4206,22937,2022-12-01 14:12:33+00:00
Welcoming some friends to town. https://t.co/n3rbqR98xB,7772,107946,2022-12-01 03:06:32+00:00
"Join my family, Vice President Harris, and the Second Gentleman as we attend the National Christmas Tree Lighting. https://t.co/yDW8kU9GxO",1448,7730,2022-11-30 22:39:14+00:00
The economy grew at a 2.6% rate last quarter while inflation started to slow. We know it will take time to get infl… https://t.co/rGFUymRRBp,3737,17678,2022-11-30 22:20:00+00:00
We’re doing everything we can to reduce the pain at the pump. https://t.co/RVyKoFkVyd,1232,6535,2022-11-30 21:55:30+00:00
I am proud to have re-launched this convening of Tribal nations and elevated it into the White House Tribal Nations… https://t.co/m57s5qZjy2,1626,8521,2022-11-30 21:33:04+00:00
Committing to our relationships with Tribal nations means appointing Native Americans to lead from the frontlines o… https://t.co/LGlf0FZyCB,1724,9257,2022-11-30 20:30:00+00:00
"My commitment to Tribal nations is respect.

Respect for Tribes as nations – and treaties as law.
Respect for Indig… https://t.co/fjgAkfWLKd",2281,10890,2022-11-30 19:30:00+00:00
"I'm grateful to Speaker Pelosi and bipartisan House members for acting to prevent a rail shutdown, making clear it… https://t.co/cDTIYLevGz",2649,15031,2022-11-30 18:58:09+00:00
Tune in as I deliver remarks at the White House Tribal Nations Summit. https://t.co/WgVmUNfeI3,789,3392,2022-11-30 16:57:02+00:00
